target_variable,site_id,season,train_rows,validation_rows,validation_start,validation_end,rmse,mae,rmse_skill_vs_persistence,mae_skill_vs_persistence,best_checkpoint,best_model_path
discharge,3,winter,2542,249,2025-03-24 07:00:00,2026-03-24 06:00:00,6.844923502325321,4.2681779861450195,0.24609444328110164,0.19131493318762394,/uufs/chpc.utah.edu/common/home/u1591982/CS6994FinalProject/season_specific_training/models_discharge_season_specific/site_3/winter/discharge-site_3-winter-best.ckpt,/uufs/chpc.utah.edu/common/home/u1591982/CS6994FinalProject/season_specific_training/models_discharge_season_specific/site_3/winter/discharge_site_3_winter_best_model.pt
discharge,3,spring,17514,2185,2025-03-24 07:00:00,2026-03-24 06:00:00,26.734880684507342,16.96586036682129,0.02837414965344598,0.019543983635472606,/uufs/chpc.utah.edu/common/home/u1591982/CS6994FinalProject/season_specific_training/models_discharge_season_specific/site_3/spring/discharge-site_3-spring-best.ckpt,/uufs/chpc.utah.edu/common/home/u1591982/CS6994FinalProject/season_specific_training/models_discharge_season_specific/site_3/spring/discharge_site_3_spring_best_model.pt
discharge,3,summer,6817,907,2025-03-24 07:00:00,2026-03-24 06:00:00,16.459826025895122,8.269466400146484,0.0677425355618071,0.17395331929020197,/uufs/chpc.utah.edu/common/home/u1591982/CS6994FinalProject/season_specific_training/models_discharge_season_specific/site_3/summer/discharge-site_3-summer-best.ckpt,/uufs/chpc.utah.edu/common/home/u1591982/CS6994FinalProject/season_specific_training/models_discharge_season_specific/site_3/summer/discharge_site_3_summer_best_model.pt
discharge,3,fall,2515,356,2025-03-24 07:00:00,2026-03-24 06:00:00,4.7340583317671765,2.8070881366729736,0.18678166542010632,0.09710088379010573,/uufs/chpc.utah.edu/common/home/u1591982/CS6994FinalProject/season_specific_training/models_discharge_season_specific/site_3/fall/discharge-site_3-fall-best.ckpt,/uufs/chpc.utah.edu/common/home/u1591982/CS6994FinalProject/season_specific_training/models_discharge_season_specific/site_3/fall/discharge_site_3_fall_best_model.pt
discharge,4,winter,2905,329,2025-03-24 18:00:00,2026-03-24 17:00:00,14.791700479531482,8.920160293579102,0.043531046834852316,0.03536555482951165,/uufs/chpc.utah.edu/common/home/u1591982/CS6994FinalProject/season_specific_training/models_discharge_season_specific/site_4/winter/discharge-site_4-winter-best.ckpt,/uufs/chpc.utah.edu/common/home/u1591982/CS6994FinalProject/season_specific_training/models_discharge_season_specific/site_4/winter/discharge_site_4_winter_best_model.pt
discharge,4,spring,16450,2185,2025-03-24 18:00:00,2026-03-24 17:00:00,26.77740842670891,18.49765968322754,0.00018011252008709455,-0.01972459941685556,/uufs/chpc.utah.edu/common/home/u1591982/CS6994FinalProject/season_specific_training/models_discharge_season_specific/site_4/spring/discharge-site_4-spring-best.ckpt,/uufs/chpc.utah.edu/common/home/u1591982/CS6994FinalProject/season_specific_training/models_discharge_season_specific/site_4/spring/discharge_site_4_spring_best_model.pt
discharge,4,summer,7115,812,2025-03-24 18:00:00,2026-03-24 17:00:00,11.515689264788454,7.550441265106201,0.18646896948435565,0.20145850710921986,/uufs/chpc.utah.edu/common/home/u1591982/CS6994FinalProject/season_specific_training/models_discharge_season_specific/site_4/summer/discharge-site_4-summer-best.ckpt,/uufs/chpc.utah.edu/common/home/u1591982/CS6994FinalProject/season_specific_training/models_discharge_season_specific/site_4/summer/discharge_site_4_summer_best_model.pt
discharge,4,fall,2589,322,2025-03-24 18:00:00,2026-03-24 17:00:00,9.789592074038337,5.65540075302124,0.05269410363660798,0.012485318711966675,/uufs/chpc.utah.edu/common/home/u1591982/CS6994FinalProject/season_specific_training/models_discharge_season_specific/site_4/fall/discharge-site_4-fall-best.ckpt,/uufs/chpc.utah.edu/common/home/u1591982/CS6994FinalProject/season_specific_training/models_discharge_season_specific/site_4/fall/discharge_site_4_fall_best_model.pt
air_temperature,1,winter,2969,360,2025-03-24 18:00:00,2026-03-24 17:00:00,3.268695902331158,2.472553014755249,0.41746309820260086,0.41179098665216485,/uufs/chpc.utah.edu/common/home/u1591982/CS6994FinalProject/season_specific_training/models_air_temperature_season_specific/site_1/winter/air_temperature-site_1-winter-best.ckpt,/uufs/chpc.utah.edu/common/home/u1591982/CS6994FinalProject/season_specific_training/models_air_temperature_season_specific/site_1/winter/air_temperature_site_1_winter_best_model.pt
air_temperature,1,spring,18209,2185,2025-03-24 18:00:00,2026-03-24 17:00:00,3.450254325891075,2.5721912384033203,0.5348813098617902,0.5510538210156317,/uufs/chpc.utah.edu/common/home/u1591982/CS6994FinalProject/season_specific_training/models_air_temperature_season_specific/site_1/spring/air_temperature-site_1-spring-best.ckpt,/uufs/chpc.utah.edu/common/home/u1591982/CS6994FinalProject/season_specific_training/models_air_temperature_season_specific/site_1/spring/air_temperature_site_1_spring_best_model.pt
air_temperature,1,summer,7740,968,2025-03-24 18:00:00,2026-03-24 17:00:00,2.577608831348362,1.8863279819488525,0.7460074381247952,0.7682766565669239,/uufs/chpc.utah.edu/common/home/u1591982/CS6994FinalProject/season_specific_training/models_air_temperature_season_specific/site_1/summer/air_temperature-site_1-summer-best.ckpt,/uufs/chpc.utah.edu/common/home/u1591982/CS6994FinalProject/season_specific_training/models_air_temperature_season_specific/site_1/summer/air_temperature_site_1_summer_best_model.pt
air_temperature,1,fall,2912,364,2025-03-24 18:00:00,2026-03-24 17:00:00,2.794929637671566,2.0562007427215576,0.6267431101951373,0.6457688873635119,/uufs/chpc.utah.edu/common/home/u1591982/CS6994FinalProject/season_specific_training/models_air_temperature_season_specific/site_1/fall/air_temperature-site_1-fall-best.ckpt,/uufs/chpc.utah.edu/common/home/u1591982/CS6994FinalProject/season_specific_training/models_air_temperature_season_specific/site_1/fall/air_temperature_site_1_fall_best_model.pt
air_temperature,2,winter,3017,360,2025-03-24 19:00:00,2026-03-24 18:00:00,10.535426367273152,6.055145740509033,0.26493148688565027,0.3062643235775031,/uufs/chpc.utah.edu/common/home/u1591982/CS6994FinalProject/season_specific_training/models_air_temperature_season_specific/site_2/winter/air_temperature-site_2-winter-best.ckpt,/uufs/chpc.utah.edu/common/home/u1591982/CS6994FinalProject/season_specific_training/models_air_temperature_season_specific/site_2/winter/air_temperature_site_2_winter_best_model.pt
air_temperature,2,spring,18183,2185,2025-03-24 19:00:00,2026-03-24 18:00:00,11.963258444600479,7.776010513305664,0.34821087917558446,0.39244704101248373,/uufs/chpc.utah.edu/common/home/u1591982/CS6994FinalProject/season_specific_training/models_air_temperature_season_specific/site_2/spring/air_temperature-site_2-spring-best.ckpt,/uufs/chpc.utah.edu/common/home/u1591982/CS6994FinalProject/season_specific_training/models_air_temperature_season_specific/site_2/spring/air_temperature_site_2_spring_best_model.pt
air_temperature,2,summer,7740,968,2025-03-24 19:00:00,2026-03-24 18:00:00,8.817276762517775,6.098966598510742,0.34973236060299595,0.4015596880399338,/uufs/chpc.utah.edu/common/home/u1591982/CS6994FinalProject/season_specific_training/models_air_temperature_season_specific/site_2/summer/air_temperature-site_2-summer-best.ckpt,/uufs/chpc.utah.edu/common/home/u1591982/CS6994FinalProject/season_specific_training/models_air_temperature_season_specific/site_2/summer/air_temperature_site_2_summer_best_model.pt
air_temperature,2,fall,2912,364,2025-03-24 19:00:00,2026-03-24 18:00:00,9.99162094025148,6.587073802947998,0.3975372403644224,0.43271855954377314,/uufs/chpc.utah.edu/common/home/u1591982/CS6994FinalProject/season_specific_training/models_air_temperature_season_specific/site_2/fall/air_temperature-site_2-fall-best.ckpt,/uufs/chpc.utah.edu/common/home/u1591982/CS6994FinalProject/season_specific_training/models_air_temperature_season_specific/site_2/fall/air_temperature_site_2_fall_best_model.pt
